roll,pitch,yaw,timestamp
0.12,0.2,-0.02,1759267865.658628
0.12,0.2,-0.02,1759267865.6610937
0.11,0.2,-0.02,1759267865.6634245
0.11,0.2,-0.02,1759267865.665817
0.12,0.2,-0.02,1759267865.6679144
0.12,0.2,-0.02,1759267865.6700113
0.12,0.2,-0.02,1759267865.6717143
0.12,0.2,-0.02,1759267865.6736896
0.12,0.2,-0.02,1759267865.675792
0.13,0.2,-0.02,1759267865.6775975
0.13,0.2,-0.02,1759267865.6796205
0.12,0.2,-0.02,1759267865.681457
0.13,0.19,-0.02,1759267865.6834643
0.12,0.2,-0.02,1759267865.6855574
0.13,0.2,-0.02,1759267865.68734
0.13,0.19,-0.03,1759267865.6894135
0.13,0.2,-0.03,1759267865.6915
0.13,0.19,-0.03,1759267865.6942751
0.12,0.19,-0.03,1759267865.696986
0.12,0.2,-0.03,1759267865.6987965
0.11,0.2,-0.03,1759267865.7005696
0.11,0.2,-0.03,1759267865.7024145
0.11,0.2,-0.03,1759267865.704125
0.11,0.2,-0.03,1759267865.7065034
0.11,0.2,-0.03,1759267865.7084548
0.11,0.2,-0.03,1759267865.7106872
0.1,0.21,-0.03,1759267865.7126667
0.1,0.21,-0.03,1759267865.7146642
0.11,0.21,-0.03,1759267865.7164798
0.1,0.21,-0.03,1759267865.718794
0.11,0.21,-0.03,1759267865.7211423
0.11,0.2,-0.03,1759267865.723356
0.11,0.21,-0.03,1759267865.7252831
0.11,0.21,-0.04,1759267865.7273169
0.12,0.2,-0.04,1759267865.7291658
0.12,0.2,-0.04,1759267865.731109
0.12,0.2,-0.04,1759267865.7329226
0.12,0.2,-0.04,1759267865.7351005
0.13,0.21,-0.04,1759267865.7372904
0.13,0.2,-0.04,1759267865.739338
0.13,0.21,-0.04,1759267865.7418811
0.13,0.21,-0.04,1759267865.7441373
0.13,0.21,-0.04,1759267865.746556
0.13,0.2,-0.04,1759267865.7483656
0.12,0.2,-0.04,1759267865.7501438
0.12,0.2,-0.04,1759267865.751969
0.12,0.2,-0.04,1759267865.7537196
0.12,0.2,-0.05,1759267865.7555592
0.11,0.21,-0.05,1759267865.757899
0.11,0.21,-0.05,1759267865.7606444
0.11,0.21,-0.05,1759267865.762566
0.11,0.21,-0.05,1759267865.7651677
0.11,0.21,-0.05,1759267865.7675962
0.11,0.21,-0.05,1759267865.770059
0.1,0.21,-0.05,1759267865.7726438
0.1,0.21,-0.05,1759267865.7752137
0.11,0.21,-0.05,1759267865.7778945
0.11,0.21,-0.05,1759267865.7803938
0.11,0.21,-0.05,1759267865.782777
0.1,0.22,-0.05,1759267865.7850978
0.11,0.22,-0.05,1759267865.7873
0.11,0.22,-0.05,1759267865.7894478
0.1,0.22,-0.05,1759267865.7917264
0.1,0.22,-0.05,1759267865.7939973
0.1,0.22,-0.05,1759267865.7966852
0.1,0.22,-0.06,1759267865.7992463
0.09,0.21,-0.06,1759267865.8022077
0.09,0.21,-0.06,1759267865.8047235
0.09,0.21,-0.06,1759267865.8069985
0.09,0.2,-0.06,1759267865.80926
0.08,0.2,-0.06,1759267865.8114998
0.08,0.2,-0.06,1759267865.8137429
0.08,0.2,-0.06,1759267865.8162503
0.08,0.2,-0.06,1759267865.818572
0.08,0.2,-0.06,1759267865.8207066
0.08,0.2,-0.06,1759267865.8229015
0.09,0.21,-0.06,1759267865.8256276
0.09,0.21,-0.06,1759267865.8284593
0.1,0.21,-0.07,1759267865.8308525
0.09,0.21,-0.07,1759267865.8331225
0.09,0.22,-0.07,1759267865.835375
0.09,0.22,-0.07,1759267865.8376522
0.09,0.23,-0.07,1759267865.839879
0.08,0.22,-0.07,1759267865.8421135
0.09,0.22,-0.07,1759267865.8443446
0.08,0.22,-0.07,1759267865.8471446
0.08,0.22,-0.07,1759267865.850131
0.08,0.23,-0.07,1759267865.8528004
0.08,0.23,-0.07,1759267865.855116
0.08,0.23,-0.07,1759267865.857407
0.08,0.23,-0.07,1759267865.8596675
0.08,0.23,-0.07,1759267865.8619018
0.08,0.24,-0.07,1759267865.864156
0.08,0.24,-0.07,1759267865.8665223
0.08,0.25,-0.08,1759267865.8687327
0.08,0.25,-0.08,1759267865.871313
0.08,0.25,-0.08,1759267865.8736072
0.08,0.25,-0.08,1759267865.876236
0.09,0.25,-0.08,1759267865.878506
0.08,0.25,-0.08,1759267865.8807304
0.08,0.25,-0.08,1759267865.8828769
0.08,0.25,-0.08,1759267865.8850665
0.08,0.25,-0.08,1759267865.8873827
0.08,0.25,-0.08,1759267865.8896062
0.08,0.25,-0.08,1759267865.8918858
0.08,0.25,-0.08,1759267865.8943095
0.08,0.24,-0.08,1759267865.8968885
0.08,0.25,-0.09,1759267865.899163
0.08,0.25,-0.09,1759267865.9014328
0.08,0.25,-0.09,1759267865.9036696
0.08,0.25,-0.09,1759267865.9062066
0.07,0.24,-0.09,1759267865.9084718
0.07,0.24,-0.09,1759267865.9107423
0.07,0.24,-0.09,1759267865.913084
0.07,0.24,-0.09,1759267865.915753
0.07,0.24,-0.09,1759267865.918157
0.07,0.24,-0.09,1759267865.9209907
0.07,0.24,-0.09,1759267865.9232633
0.07,0.24,-0.09,1759267865.9256487
0.07,0.24,-0.09,1759267865.9279242
0.07,0.24,-0.09,1759267865.930178
0.06,0.23,-0.09,1759267865.9325294
0.06,0.23,-0.1,1759267865.9349525
0.06,0.23,-0.1,1759267865.937211
0.06,0.23,-0.1,1759267865.9394708
0.06,0.23,-0.1,1759267865.9417243
0.06,0.23,-0.1,1759267865.943975
0.06,0.23,-0.1,1759267865.9463997
0.06,0.23,-0.1,1759267865.948799
0.06,0.23,-0.1,1759267865.9510293
0.06,0.23,-0.1,1759267865.9533627
0.06,0.23,-0.1,1759267865.9557085
0.06,0.23,-0.1,1759267865.958001
0.06,0.23,-0.1,1759267865.9601195
0.06,0.23,-0.1,1759267865.9623504
0.06,0.23,-0.1,1759267865.96515
0.06,0.23,-0.1,1759267865.9684489
0.06,0.22,-0.1,1759267865.9711835
0.06,0.22,-0.1,1759267865.974261
0.06,0.22,-0.1,1759267865.9769816
