cR,cP,cY,timestamp
-0.013531849442624122,0.01884581786970663,0.09409259987417683,1759343171.885828
-0.013488008111617107,0.018749391617289696,0.08964816222314725,1759343171.898239
-0.02093330888667632,0.024164605660233002,0.09437442592014748,1759343171.913299
-0.016677252287648797,0.023066654547423758,0.08249076149241993,1759343171.931646
-0.0161728542702541,0.026194475322437426,0.08194662104012143,1759343171.958357
-0.025972553857826076,0.03785850662528266,0.08315399053452743,1759343171.987893
-0.02828893964657763,0.050128896700911196,0.06931087410804376,1759343172.0086317
-0.017402267794672285,0.06320184364380277,0.056839272558475346,1759343172.0394883
-0.025413832115384276,0.10160177992801843,0.04429841172127993,1759343172.0598476
-0.026808913023132167,0.12613737331212088,0.04414047134495944,1759343172.083483
-0.03788779737790314,0.20149228940443265,0.05448235323828502,1759343172.1130755
-0.03002508081457496,0.31634841150784604,0.09498138079625781,1759343172.1508615
-0.05074426668584069,0.2611739479014503,0.148403839372042,1759343172.187642
-0.0720216406899327,0.23753554243665392,0.20008999510810324,1759343172.2217717
-0.08106983648505997,0.16804587188711378,0.19346825759146058,1759343172.2430184
-0.06597398746962797,0.11395922352169431,0.14684990394713343,1759343172.2750938
-0.0631760765701087,0.06183589404757763,0.11034282557430132,1759343172.31735
-0.04781836564600038,-0.02461814411198303,0.0354792156366692,1759343172.343194
-0.030717644032056828,-0.051888656550592896,-0.006563762160657349,1759343172.369324
-0.012204745130177806,-0.08310548917182765,-0.03434109966977844,1759343172.39359
0.02181636597061835,-0.1104697869991943,-0.05484336960494411,1759343172.4318285
0.049195210919711255,-0.12705880188721025,-0.05444578082320179,1759343172.4556458
0.06070639945820478,-0.13237849701403775,-0.04370127574156052,1759343172.4903429
0.055328547053849375,-0.11395884892786678,-0.02545006389137877,1759343172.5211086
0.06343906860520675,-0.10119559560225486,-0.02172885923588829,1759343172.550231
0.053784216721078616,-0.0791603643350876,-0.012121527334444368,1759343172.574069
0.0524076769254977,-0.075838497987033,-0.008235597195929485,1759343172.5968237
0.023520303980704236,-0.022931452479248757,0.03060362670675867,1759343172.618199
0.02334956397582628,-0.027418564101517013,0.04461655691509244,1759343172.6347203
0.018054343304164236,-0.008173944730736965,0.05772063082399419,1759343172.647149
0.008859019954906431,-0.0053311148431320135,0.05886496042820151,1759343172.6591065
0.003762905833184159,-0.0021847358526164325,0.0663800323802958,1759343172.6780183
-0.0044499196625938,0.014565160560373325,0.06816594090262565,1759343172.7118366
-0.03579900433528141,0.05578241016789709,0.10793350692321715,1759343172.7557817
-0.03251735166992141,0.04639956875938501,0.0899058596650964,1759343172.780509
-0.03429712767389471,0.047126550865118313,0.0877845445235099,1759343172.7996085
-0.052128498290012246,0.07342345395451072,0.09877439231444968,1759343172.815069
-0.050546249889617374,0.08152183550205659,0.08684242078120244,1759343172.8268178
-0.016456512133621523,0.03039724566242399,0.06020091363624809,1759343172.8459306
-0.04275972279498581,0.08551526361028294,0.06904971189024425,1759343172.8585672
-0.030565224198354023,0.06717861291391347,0.05948157516311799,1759343172.8846428
-0.03275137655213058,0.08939554691202559,0.05271399451456866,1759343172.899636
-0.031569856029057174,0.10664564555479789,0.04832683308994231,1759343172.9147131
-0.02922054230194516,0.12945136063508864,0.03916946988884508,1759343172.9333715
-0.03328864928163449,0.21996619397101805,0.025196149221603868,1759343172.9493842
-0.028288470966074675,0.1920298371696014,0.03784361594040041,1759343172.9635985
-0.028792623192347155,0.18864846293740228,0.0467624105432233,1759343172.9747558
-0.03532816957420363,0.2113522200148598,0.05490838039709246,1759343172.987812
-0.05265952966752109,0.2874532464354376,0.07785824938395136,1759343173.0029235
-0.04778827092754667,0.2271440553108115,0.08747887558428959,1759343173.02455
-0.08046405711395242,0.36593787880679046,0.1586823455946935,1759343173.0408998
-0.06656447534861461,0.255721020423744,0.15329173764489581,1759343173.0579572
-0.09959840763994614,0.25541480398199623,0.20564380531757548,1759343173.0773473
-0.07990706471877312,0.18269265404915297,0.16496344324395823,1759343173.0956554
-0.08473687716297593,0.159878163253266,0.16731580775424232,1759343173.1163993
-0.08812263071559415,0.12622185929782342,0.1439116840087472,1759343173.1384096
-0.0972014057651133,0.10466709827548949,0.12397445152023977,1759343173.1517594
-0.07630811190441819,0.09085586599074032,0.0932603139926214,1759343173.1696472
-0.09610086722227681,0.052781903235158176,0.061249045436486876,1759343173.1867385
-0.07367828210804755,0.05034288074984436,0.03943016674317409,1759343173.1998055
-0.0682072636141719,0.026128437228194468,0.00896187487972612,1759343173.2126217
-0.053078194170748744,0.036699452763428196,0.014797140950303045,1759343173.2258408
-0.0497845155963022,-0.0037381120512032934,-0.027213417027865644,1759343173.2379298
-0.043010406770276,0.0002749498967299091,-0.01942374403007771,1759343173.2521534
-0.03738132568002523,-0.019234343211849136,-0.03502945659548941,1759343173.2651749
-0.02840902665585628,-0.05880213659193985,-0.0655620515962279,1759343173.28228
-0.010225602575796772,-0.12088682237250158,-0.12171636094059998,1759343173.2961483
-0.0059369382262089015,-0.05936464950043269,-0.06939057494013545,1759343173.311288
0.014238883234784318,-0.11363713863389124,-0.11376839951194824,1759343173.3339596
0.037381891125733854,-0.15967510532544657,-0.13676075401856172,1759343173.3500926
0.02680875874717068,-0.11780376730291763,-0.08585043929526552,1759343173.3665705
0.0749336091318298,-0.20131030656663487,-0.14770163962148458,1759343173.380743
0.08010866972571584,-0.17687377523347553,-0.11300993825216127,1759343173.393263
0.038760654276700765,-0.07736250205794203,-0.04351936611481804,1759343173.412845
0.052745257910712086,-0.10529806481673584,-0.0513665199782994,1759343173.43234
0.06615763077827357,-0.1195886998540926,-0.053578019658524614,1759343173.4526474
0.040635310113369884,-0.07268052011419196,-0.030369407246102476,1759343173.4738424
0.019243391260932823,-0.03788480763634599,-0.013272393983359308,1759343173.4897373
0.010127505744696414,-0.02318072034914546,-0.007654170490125321,1759343173.5132885
0.021365504475492667,-0.032829983968251306,-0.0063947467004972424,1759343173.5502486
0.013036260861408928,-0.0214700768638506,0.007362451333830081,1759343173.5708845
0.0029487904487510595,-0.005067252129021169,0.021746822504146408,1759343173.5827858
-0.005447385885323071,-0.004486044445538825,0.018914223261906938,1759343173.5951605
-0.018181647875247925,0.003182284720975812,0.03807782565947318,1759343173.6087773
-0.017306787736503692,0.009451433497356825,0.02850087437698821,1759343173.627837
-0.028303435772427003,0.018748386702993093,0.04133610893122619,1759343173.6487536
-0.025840489493595593,0.013424165741780354,0.03023102678603333,1759343173.6799505
-0.04246986404494889,0.042224201128943734,0.06800294876472093,1759343173.7069676
-0.04462516655461281,0.037258003630097646,0.06149341045072332,1759343173.7265522
-0.06219108197242907,0.04759650712475096,0.07364493738996228,1759343173.739543
