roll,pitch,yaw,timestamp
0.01,-0.01,-1.47,1758762223.7224934
0.01,-0.01,-1.47,1758762223.7250483
0.01,-0.01,-1.47,1758762223.727987
0.01,-0.01,-1.47,1758762223.7308743
0.01,-0.01,-1.47,1758762223.7333186
0.01,-0.01,-1.47,1758762223.7358618
0.01,-0.01,-1.47,1758762223.7382455
0.01,-0.01,-1.47,1758762223.7406702
0.01,-0.01,-1.47,1758762223.7432616
0.01,-0.01,-1.47,1758762223.7461796
0.01,-0.01,-1.47,1758762223.750285
0.01,-0.01,-1.47,1758762223.7537367
0.01,-0.01,-1.47,1758762223.756173
0.01,-0.01,-1.47,1758762223.7577968
0.01,-0.01,-1.47,1758762223.7597485
0.01,-0.01,-1.47,1758762223.76244
0.01,-0.01,-1.47,1758762223.765493
0.01,-0.01,-1.47,1758762223.7680402
0.01,-0.01,-1.47,1758762223.7697656
0.01,-0.01,-1.47,1758762223.7721827
0.01,-0.01,-1.47,1758762223.7758083
0.01,-0.01,-1.47,1758762223.7783637
0.01,-0.01,-1.47,1758762223.7808704
0.01,-0.01,-1.47,1758762223.784309
0.01,-0.01,-1.47,1758762223.786687
0.01,-0.01,-1.47,1758762223.790076
0.01,-0.01,-1.47,1758762223.792272
0.01,-0.01,-1.47,1758762223.7940698
0.01,-0.01,-1.47,1758762223.796661
0.01,-0.01,-1.47,1758762223.7983088
0.01,-0.01,-1.47,1758762223.799924
0.01,-0.01,-1.47,1758762223.8026054
0.01,-0.01,-1.47,1758762223.805106
0.01,-0.01,-1.47,1758762223.8067615
0.01,-0.01,-1.47,1758762223.8091943
0.01,-0.01,-1.47,1758762223.8108234
0.01,-0.01,-1.47,1758762223.812484
0.01,-0.01,-1.47,1758762223.815972
0.01,-0.01,-1.47,1758762223.8176415
0.01,-0.01,-1.47,1758762223.8201594
0.01,-0.01,-1.47,1758762223.8217804
0.01,-0.01,-1.47,1758762223.824264
0.01,-0.01,-1.47,1758762223.8258774
0.01,-0.01,-1.47,1758762223.828194
0.01,-0.01,-1.47,1758762223.829893
0.01,-0.01,-1.47,1758762223.8321714
0.01,-0.01,-1.47,1758762223.8339038
0.01,-0.01,-1.47,1758762223.8356009
0.01,-0.01,-1.47,1758762223.838714
0.01,-0.01,-1.47,1758762223.841504
0.01,-0.01,-1.47,1758762223.8433516
0.01,-0.01,-1.47,1758762223.846506
0.01,-0.01,-1.47,1758762223.8497672
0.01,-0.01,-1.47,1758762223.8524568
0.01,-0.01,-1.47,1758762223.8542309
0.01,-0.01,-1.47,1758762223.8564806
0.01,-0.01,-1.47,1758762223.8585465
0.01,-0.01,-1.47,1758762223.8613088
0.01,-0.01,-1.47,1758762223.864539
0.01,-0.01,-1.47,1758762223.8683634
0.01,-0.01,-1.47,1758762223.8721592
0.01,-0.01,-1.47,1758762223.8760293
0.01,-0.01,-1.47,1758762223.879902
0.01,-0.01,-1.47,1758762223.8839684
0.01,-0.01,-1.47,1758762223.8863585
0.01,-0.01,-1.47,1758762223.890689
0.01,-0.01,-1.47,1758762223.8939114
0.01,-0.01,-1.47,1758762223.897699
0.01,-0.01,-1.47,1758762223.9014113
0.01,-0.01,-1.47,1758762223.905073
0.01,-0.01,-1.47,1758762223.9086013
0.01,-0.01,-1.47,1758762223.912107
0.01,-0.01,-1.47,1758762223.9145443
0.01,-0.01,-1.47,1758762223.9170363
0.01,-0.01,-1.47,1758762223.920105
0.01,-0.01,-1.47,1758762223.9235394
0.01,-0.01,-1.47,1758762223.9270682
0.01,-0.01,-1.47,1758762223.9293735
0.01,-0.01,-1.47,1758762223.932937
